jonan komisi energi dpr rapat jam hasil	neutral
polres muara enim bongkar tambang batu bara ilegal orang tangkap	negative
polisi tutup tambang emas ilegal kawasan gunung sanggabuana bogor	negative
orang jadi sangka tambang ilegal klaten ngotot punya izin	negative
gubernur jambi soal sungai batanghari bersih dprd segera buat perda	positive
warga pakuniran probolinggo keluh tambang sirtu rusak lingkung	neutral
satpol pp batang sambat gali c ilegal tutup selalu muncul	negative
polisi razia tambang emas ilegal rangin laku tangkap	negative
wn china paspor papua aman tni	neutral
jagung bentuk satgas evaluasi tata kelola tambang timah	neutral
wow kades hariyono keruk rp juta per bulan tambang pasir ilegal	negative
duh pasir pantai ntb gali ilegal	negative
modus baru balik aktivitas tambang ilegal sukabumi	negative
patroli tambang ilegal polda banten tutup tambang emas lebak	negative
kkb serang kerja tambang awimbon papua pimpin bocor sobolim	neutral
tambang emas ilegal bungo jambi razia alat berat aman	negative
minta tutup warga geruduk tambang gali c jatisari boyolali	neutral
polisi dinas esdm jateng cek tambang ilegal klaten titik izin	negative
suram harga bitcoin nyaris jeblok bawah rp juta	neutral
istri salim kancil sakit hati mau juang bung karno	positive
wanita kolombia perkosa lapor kasus perkosa	neutral
polisi tangkap tambang pasir ilegal riau	negative
calegnya tahan dpc ppp rembang tak ikut campur	neutral
ribu liter solar ilegal aman polres tuban	negative
tambang emas ilegal kuansing longsor tambang tewas	negative
kompolnas minta ppatk cek alir dana oknum polisi bos tambang emas ilegal	negative
dprd jatim jangan ulang salim kancil ii	neutral
pns rohul jadi sangka usai jadi kebun sawit tambang pasir batu ilegal	negative
pn kendari tolak gugat pra adil kasus iliegal mining kolaka	negative
laku tambang batu bara ilegal kukar tangkap ekskavator sita	negative
tangkap tambang emas ilegal gakkum klhk ajak warga jaga tn lore lindu	negative
seleweng izin wn china korsel tambang emas nabire deportasi	neutral
polisi tangkap wna duga laku tambang ilegal aceh	negative
suku paling isolasi hutan amazon tampak diri	positive
maros sulsel terjang banjir bandang bupati gara gara tambang liar	negative
polisi temu aktivitas tambang emas ilegal singkawang	negative
gubernur aceh tutup tambang ilegal laku tindak	negative
tambang emas jambi longsor tambang timbun	neutral
polisi periksa duga terima uang usaha tambang lumajang	neutral
polres bogor tangkap tambang emas ilegal area milik pt antam	negative
lokasi oplos solar gerebek tim gabung pertamina polisi	neutral
polisi kalong beku gali c ilegal bas truk sita	negative
punya bitcoin gratis paham sistem mining	positive
dampak keri tambang emas ilegal kaki gunung sanggabuana	negative
acara hendra kurniawan ismail bolong bohong	neutral
jurnalis inggris tembak mati amazon bunuh	negative
dedi mulyadi minta polda jabar tindak tambang ilegal guna ledak	negative
miris lahan kubur sumedang jadi lokasi tambang ilegal	negative
polisi babat habis tambang emas ilegal kalbar orang cukong aman	negative
menteri sus tak punya timah kok thailand ekspor timah	neutral
sangka kasus tambang sebab orang tewas tangkap	neutral
sofyan djalil ri produsen timah besar no dunia nggak apa apa	neutral
tambang emas tutup warga pancurendang banyumas jadi ternak dada	negative
gibran sebut tambang ilegal klaten punya beking ngeri	negative
alat berat tambang emas ilegal bungo bakar warga	negative
milik tambang pasir longsor mojokerto periksa polisi	neutral
soal kasus timah usut jaksa usai harvey moeis jadi sangka	neutral
tiga kades mojokerto jerat korupsi tambang ilegal	negative
ratus tambang pasir batu milik armada angkut mineral demo	neutral
jokowi tunjuk menteri esdm pimpin benah tambang timah babel	neutral
tambang pt map cemar air limbah oli labu bajo duga liar	negative
korban tewas akibat topan vamco filipina jadi orang	neutral
respons dpr rmk energy bantah soal tambang ilegal	negative
tambang batubara ilegal gerebek polres tuban	negative
tambang batu bara ilegal juta tontahun produksi	negative
emak emak semprot tugas kejar sukabumi gegara plang sita lahan	negative
legislator minta kasus ismail bolong sepele	neutral
sorot gaya gibran debat tb hassanudin ilmu sampai	neutral
tunggu perintah jokowi sus siap tertib tambang timah ilegal babel	negative
bos pt timah lapor polisi tambang ilegal marak babel	negative
warga sumbar tangkap duga buka tambang emas ilegal madina	negative
skandal facebook data	neutral
keren lahan eks kartel gurandil pongkor sulap jadi tempat wisata	positive
banjir bandang jambi rumah hanyut orang hilang	negative
polisi aman orang kait tusuk kapolsek sandera jambi	negative
marak tambang ilegal punya beking ngeri menteri esdm mau bentuk ditjen baru	negative
cegah timah ilegal jokowi rombak atur soal timah	negative
menteri desa ikut ingat hari mati salim kancil	neutral
kapolres madina dandim tapsel tepis jemput paksa mafia tambang	positive
bahas tambang emas ilegal anggota dprd jambi warga nyaris adu jotos	negative
tambang ilegal bikin resah bijak daerah bikin gerah	negative
tambang minyak ilegal batanghari gerebek tambang aman	negative
tambang batu bara ilegal bukit soeharto kaltim gerebek jadi sangka	negative
eks dirops pt timah jadi sangka korupsi rugi negara rp t	neutral
ganjar minta setop tambang sungai klaten hulu rapi tetap jalan	neutral
soal timah ilegal babel menteri siti sana mah parah	negative
warga ngeluh aktivitas gali c majalengka ancam lingkung	neutral
uruk proyek tol jogja solo henti imbas tambang bikin mletre segel	negative
polres malang mulai bidik tambang pasir ilegal	negative
bos gali c ilegal kalong resmi jadi sangka	negative
polisi bekuk laku tampung emas hasil tambang liar jambi	negative
dlh kalsel sidak tambang batu bara ilegal cemar sungai mangkauk	negative
iran resmi larang tambang bitcoin alas bikin heran	neutral
bos pt timah buka suara soal rugi lingkung rp triliun	neutral
keji begini kronologi bunuh aktivis anti tambang lumajang	neutral
suling merkuri hutan malu bongkar pasutri tangkap	neutral
polisi tertib tambang emas ilegal luwu utara usai tewas tambang	negative
kisah muram balik hidup gurandil sukabumi	negative
jagung jelas kait harvey moeis helena lim kasus timah	positive
gubsu edy cemar bahan kimia sebab anak stunting madina	neutral
ipw minta testimoni ismail bolong soal kabareskrim usut biar tak fitnah	neutral
gunung emas kaki salak	neutral
aktivis anti tambang bunuh menteri agraria gali ilegal henti	negative
ipl bangun bendung bener nilai cacat substansial	negative
polres diri gerebek lokasi tambang pasir ilegal	negative
hilir sebut ugal ugalan eks mendag emang mau jaga lingkung aja	positive
anggota dewan mojokerto milik gali c ilegal periksa polisi	negative
bisa ri jadi tentu harga timah dunia	neutral
dampak keri manusia tambang emas ilegal gunung sanggabuana	negative
kronologi tambang emas ilegal parigi moutong tewas timbun longsor	negative
indah pandang waduk waris soeharto sedang sekarat	positive
main mata tambang timah	neutral
negara negara amazon kumpul brasil bahas bijak sama	negative
maut lubang tambang emas bolmong	neutral
respons adu warga ganjar tindak gali c ilegal lereng sindoro	negative
china benar benar hancur bitcoin	neutral
operator alat berat jadi sangka tambang ilegal rapi magelang	negative
gubsu edy stunting madina duga kuat picu cemar tambang ilegal	negative
cuan ratus juta ternak ayam eks gurandil hidup lebih barokah	positive
tebing blitar longsor tambang pasir luka	neutral
